iso639-1,iso639-2b,iso639-2t,iso639-3,scope,language_type,name
,,,gaj,individual,living,Gadsup
,,,gak,individual,living,Gamkonora
,,,gal,individual,living,Galolen
,,,gam,individual,living,Kandawo
,,,gan,individual,living,Gan Chinese
,,,gao,individual,living,Gants
,,,gap,individual,living,Gal
,,,gaq,individual,living,Gata'
,,,gar,individual,living,Galeya
,,,gas,individual,living,Adiwasi Garasia
,,,gat,individual,living,Kenati
,,,gau,individual,living,Mudhili Gadaba
,,,gaw,individual,living,Nobonob
,,,gax,individual,living,Borana-Arsi-Guji Oromo
,gay,gay,gay,individual,living,Gayo
,,,gaz,individual,living,West Central Oromo
,gba,gba,gba,macrolanguage,living,Gbaya (Central African Republic)
,,,gbb,individual,living,Kaytetye
,,,gbd,individual,living,Karajarri
,,,gbe,individual,living,Niksek
,,,gbf,individual,living,Gaikundi
,,,gbg,individual,living,Gbanziri
,,,gbh,individual,living,Defi Gbe
,,,gbi,individual,living,Galela
,,,gbj,individual,living,Bodo Gadaba
,,,gbk,individual,living,Gaddi
,,,gbl,individual,living,Gamit
,,,gbm,individual,living,Garhwali
,,,gbn,individual,living,Mo'da
,,,gbo,individual,living,Northern Grebo
,,,gbp,individual,living,Gbaya-Bossangoa
,,,gbq,individual,living,Gbaya-Bozoum
,,,gbr,individual,living,Gbagyi
,,,gbs,individual,living,Gbesi Gbe
,,,gbu,individual,living,Gagadu
,,,gbv,individual,living,Gbanu
,,,gbw,individual,living,Gabi-Gabi
,,,gbx,individual,living,Eastern Xwla Gbe
,,,gby,individual,living,Gbari
,,,gbz,individual,living,Zoroastrian Dari
,,,gcc,individual,living,Mali
,,,gcd,individual,extinct,Ganggalida
,,,gce,individual,extinct,Galice
,,,gcf,individual,living,Guadeloupean Creole French
,,,gcl,individual,living,Grenadian Creole English
,,,gcn,individual,living,Gaina
,,,gcr,individual,living,Guianese Creole French
,,,gct,individual,living,Colonia Tovar German
,,,gda,individual,living,Gade Lohar
,,,gdb,individual,living,Pottangi Ollar Gadaba
,,,gdc,individual,extinct,Gugu Badhun
,,,gdd,individual,living,Gedaged
,,,gde,individual,living,Gude
,,,gdf,individual,living,Guduf-Gava
,,,gdg,individual,living,Ga'dang
,,,gdh,individual,living,Gadjerawang
,,,gdi,individual,living,Gundi
,,,gdj,individual,living,Gurdjar
,,,gdk,individual,living,Gadang
,,,gdl,individual,living,Dirasha
,,,gdm,individual,living,Laal
,,,gdn,individual,living,Umanakaina
,,,gdo,individual,living,Ghodoberi
,,,gdq,individual,living,Mehri
,,,gdr,individual,living,Wipi
,,,gds,individual,living,Ghandruk Sign Language
,,,gdt,individual,extinct,Kungardutyi
,,,gdu,individual,living,Gudu
,,,gdx,individual,living,Godwari
,,,gea,individual,living,Geruma
,,,geb,individual,living,Kire
,,,gec,individual,living,Gboloo Grebo
,,,ged,individual,living,Gade
,,,gef,individual,living,Gerai
,,,geg,individual,living,Gengle
,,,geh,individual,living,Hutterite German
,,,gei,individual,living,Gebe
,,,gej,individual,living,Gen
,,,gek,individual,living,Ywom
,,,gel,individual,living,ut-Ma'in
,,,geq,individual,living,Geme
,,,ges,individual,living,Geser-Gorom
,,,gev,individual,living,Eviya
,,,gew,individual,living,Gera
,,,gex,individual,living,Garre
,,,gey,individual,living,Enya
,gez,gez,gez,individual,historical,Geez
,,,gfk,individual,living,Patpatar
,,,gft,individual,extinct,Gafat
,,,gga,individual,living,Gao
,,,ggb,individual,living,Gbii
,,,ggd,individual,extinct,Gugadj
,,,gge,individual,living,Gurr-goni
,,,ggg,individual,living,Gurgula
,,,ggk,individual,extinct,Kungarakany
,,,ggl,individual,living,Ganglau
,,,ggt,individual,living,Gitua
,,,ggu,individual,living,Gagu
,,,ggw,individual,living,Gogodala
,,,gha,individual,living,Ghadamès
,,,ghc,individual,historical,Hiberno-Scottish Gaelic
,,,ghe,individual,living,Southern Ghale
,,,ghh,individual,living,Northern Ghale
,,,ghk,individual,living,Geko Karen
,,,ghl,individual,living,Ghulfan
,,,ghn,individual,living,Ghanongga
,,,gho,individual,extinct,Ghomara
,,,ghr,individual,living,Ghera
,,,ghs,individual,living,Guhu-Samane
,,,ght,individual,living,Kuke
,,,gia,individual,living,Kija
,,,gib,individual,living,Gibanawa
,,,gic,individual,living,Gail
,,,gid,individual,living,Gidar
,,,gie,individual,living,Gaɓogbo
,,,gig,individual,living,Goaria
,,,gih,individual,living,Githabul
,,,gii,individual,living,Girirra
,gil,gil,gil,individual,living,Gilbertese
,,,gim,individual,living,Gimi (Eastern Highlands)
,,,gin,individual,living,Hinukh
,,,gip,individual,living,Gimi (West New Britain)
,,,giq,individual,living,Green Gelao
,,,gir,individual,living,Red Gelao
,,,gis,individual,living,North Giziga
,,,git,individual,living,Gitxsan
,,,giu,individual,living,Mulao
,,,giw,individual,living,White Gelao
,,,gix,individual,living,Gilima
,,,giy,individual,living,Giyug
,,,giz,individual,living,South Giziga
,,,gjk,individual,living,Kachi Koli
,,,gjm,individual,extinct,Gunditjmara
,,,gjn,individual,living,Gonja
,,,gjr,individual,living,Gurindji Kriol
,,,gju,individual,living,Gujari
,,,gka,individual,living,Guya
,,,gkd,individual,living,Magɨ (Madang Province)
,,,gke,individual,living,Ndai
,,,gkn,individual,living,Gokana
,,,gko,individual,extinct,Kok-Nar
,,,gkp,individual,living,Guinea Kpelle
,,,gku,individual,extinct,ǂUngkue
gd,gla,gla,gla,individual,living,Scottish Gaelic
,,,glb,individual,living,Belning
,,,glc,individual,living,Bon Gula
,,,gld,individual,living,Nanai
ga,gle,gle,gle,individual,living,Irish
gl,glg,glg,glg,individual,living,Galician
,,,glh,individual,living,Northwest Pashai
,,,glj,individual,living,Gula Iro
,,,glk,individual,living,Gilaki
,,,gll,individual,extinct,Garlali
,,,glo,individual,living,Galambu
,,,glr,individual,living,Glaro-Twabo
,,,glu,individual,living,Gula (Chad)
gv,glv,glv,glv,individual,living,Manx
,,,glw,individual,living,Glavda
,,,gly,individual,extinct,Gule
,,,gma,individual,extinct,Gambera
,,,gmb,individual,living,Gula'alaa
,,,gmd,individual,living,Mághdì
,,,gmg,individual,living,Magɨyi
,gmh,gmh,gmh,individual,historical,Middle High German (ca. 1050-1500)
,,,gml,individual,historical,Middle Low German
,,,gmm,individual,living,Gbaya-Mbodomo
,,,gmn,individual,living,Gimnime
,,,gmr,individual,living,Mirning
,,,gmu,individual,living,Gumalu
,,,gmv,individual,living,Gamo
,,,gmx,individual,living,Magoma
,,,gmy,individual,historical,Mycenaean Greek
,,,gmz,individual,living,Mgbolizhia
,,,gna,individual,living,Kaansa
,,,gnb,individual,living,Gangte
,,,gnc,individual,extinct,Guanche
,,,gnd,individual,living,Zulgo-Gemzek
,,,gne,individual,living,Ganang
,,,gng,individual,living,Ngangam
,,,gnh,individual,living,Lere
,,,gni,individual,living,Gooniyandi
,,,gnj,individual,living,Ngen
,,,gnk,individual,living,ǁGana
,,,gnl,individual,extinct,Gangulu
,,,gnm,individual,living,Ginuman
,,,gnn,individual,living,Gumatj
,,,gno,individual,living,Northern Gondi
,,,gnq,individual,living,Gana
,,,gnr,individual,extinct,Gureng Gureng
,,,gnt,individual,living,Guntai
,,,gnu,individual,living,Gnau
,,,gnw,individual,living,Western Bolivian Guaraní
,,,gnz,individual,living,Ganzi
,,,goa,individual,living,Guro
,,,gob,individual,living,Playero
,,,goc,individual,living,Gorakor
,,,god,individual,living,Godié
,,,goe,individual,living,Gongduk
,,,gof,individual,living,Gofa
,,,gog,individual,living,Gogo
,goh,goh,goh,individual,historical,Old High German (ca. 750-1050)
,,,goi,individual,living,Gobasi
,,,goj,individual,living,Gowlan
,,,gok,individual,living,Gowli
,,,gol,individual,living,Gola
,,,gom,individual,living,Goan Konkani
,gon,gon,gon,macrolanguage,living,Gondi
,,,goo,individual,living,Gone Dau
,,,gop,individual,living,Yeretuar
,,,goq,individual,living,Gorap
,gor,gor,gor,individual,living,Gorontalo
,,,gos,individual,living,Gronings
,got,got,got,individual,historical,Gothic
,,,gou,individual,living,Gavar
,,,gov,individual,living,Goo
,,,gow,individual,living,Gorowa
,,,gox,individual,living,Gobu
,,,goy,individual,living,Goundo
,,,goz,individual,living,Gozarkhani
,,,gpa,individual,living,Gupa-Abawa
,,,gpe,individual,living,Ghanaian Pidgin English
,,,gpn,individual,living,Taiap
,,,gqa,individual,living,Ga'anda
,,,gqi,individual,living,Guiqiong
,,,gqn,individual,extinct,Guana (Brazil)
,,,gqr,individual,living,Gor
,,,gqu,individual,living,Qau
,,,gra,individual,living,Rajput Garasia
,grb,grb,grb,macrolanguage,living,Grebo
,grc,grc,grc,individual,historical,Ancient Greek (to 1453)
,,,grd,individual,living,Guruntum-Mbaaru
,,,grg,individual,living,Madi
,,,grh,individual,living,Gbiri-Niragu
,,,gri,individual,living,Ghari
,,,grj,individual,living,Southern Grebo
,,,grm,individual,living,Kota Marudu Talantang
gn,grn,grn,grn,macrolanguage,living,Guarani
,,,gro,individual,living,Groma
,,,grq,individual,living,Gorovu
,,,grr,individual,living,Taznatit
,,,grs,individual,living,Gresi
,,,grt,individual,living,Garo
,,,gru,individual,living,Kistane
,,,grv,individual,living,Central Grebo
,,,grw,individual,living,Gweda
,,,grx,individual,living,Guriaso
,,,gry,individual,living,Barclayville Grebo
,,,grz,individual,living,Guramalum
,,,gse,individual,living,Ghanaian Sign Language
,,,gsg,individual,living,German Sign Language
,,,gsl,individual,living,Gusilay
,,,gsm,individual,living,Guatemalan Sign Language
,,,gsn,individual,living,Nema
,,,gso,individual,living,Southwest Gbaya
,,,gsp,individual,living,Wasembo
,,,gss,individual,living,Greek Sign Language
,gsw,gsw,gsw,individual,living,Swiss German
,,,gta,individual,living,Guató
,,,gtu,individual,extinct,Aghu-Tharnggala
,,,gua,individual,living,Shiki
,,,gub,individual,living,Guajajára
,,,guc,individual,living,Wayuu
,,,gud,individual,living,Yocoboué Dida
,,,gue,individual,living,Gurindji
,,,guf,individual,living,Gupapuyngu
,,,gug,individual,living,Paraguayan Guaraní
,,,guh,individual,living,Guahibo
,,,gui,individual,living,Eastern Bolivian Guaraní
gu,guj,guj,guj,individual,living,Gujarati
,,,guk,individual,living,Gumuz
,,,gul,individual,living,Sea Island Creole English
,,,gum,individual,living,Guambiano
,,,gun,individual,living,Mbyá Guaraní
,,,guo,individual,living,Guayabero
,,,gup,individual,living,Gunwinggu
,,,guq,individual,living,Aché
,,,gur,individual,living,Farefare
,,,gus,individual,living,Guinean Sign Language
,,,gut,individual,living,Maléku Jaíka
,,,guu,individual,living,Yanomamö
,,,guw,individual,living,Gun
,,,gux,individual,living,Gourmanchéma
,,,guz,individual,living,Gusii
,,,gva,individual,living,Guana (Paraguay)
,,,gvc,individual,living,Guanano
,,,gve,individual,living,Duwet
,,,gvf,individual,living,Golin
,,,gvj,individual,living,Guajá
,,,gvl,individual,living,Gulay
,,,gvm,individual,living,Gurmana
,,,gvn,individual,living,Kuku-Yalanji
,,,gvo,individual,living,Gavião Do Jiparaná
,,,gvp,individual,living,Pará Gavião
,,,gvr,individual,living,Gurung
,,,gvs,individual,living,Gumawana
,,,gvy,individual,extinct,Guyani
,,,gwa,individual,living,Mbato
,,,gwb,individual,living,Gwa
,,,gwc,individual,living,Gawri
,,,gwd,individual,living,Gawwada
,,,gwe,individual,living,Gweno
,,,gwf,individual,living,Gowro
,,,gwg,individual,living,Moo
,gwi,gwi,gwi,individual,living,Gwichʼin
,,,gwj,individual,living,ǀGwi
,,,gwm,individual,extinct,Awngthim
,,,gwn,individual,living,Gwandara
,,,gwr,individual,living,Gwere
,,,gwt,individual,living,Gawar-Bati
,,,gwu,individual,extinct,Guwamu
,,,gww,individual,living,Kwini
,,,gwx,individual,living,Gua
,,,gxx,individual,living,Wè Southern
,,,gya,individual,living,Northwest Gbaya
,,,gyb,individual,living,Garus
,,,gyd,individual,living,Kayardild
,,,gye,individual,living,Gyem
,,,gyf,individual,extinct,Gungabula
,,,gyg,individual,living,Gbayi
,,,gyi,individual,living,Gyele
,,,gyl,individual,living,Gayil
,,,gym,individual,living,Ngäbere
,,,gyn,individual,living,Guyanese Creole English
,,,gyo,individual,living,Gyalsumdo
,,,gyr,individual,living,Guarayu
,,,gyy,individual,extinct,Gunya
,,,gyz,individual,living,Geji
,,,gza,individual,living,Ganza
,,,gzi,individual,living,Gazi
,,,gzn,individual,living,Gane
,,,haa,individual,living,Han
,,,hab,individual,living,Hanoi Sign Language
,,,hac,individual,living,Gurani
,,,had,individual,living,Hatam
,,,hae,individual,living,Eastern Oromo
,,,haf,individual,living,Haiphong Sign Language
,,,hag,individual,living,Hanga
,,,hah,individual,living,Hahon
,hai,hai,hai,macrolanguage,living,Haida
,,,haj,individual,living,Hajong
,,,hak,individual,living,Hakka Chinese
,,,hal,individual,living,Halang
,,,ham,individual,living,Hewa
,,,han,individual,living,Hangaza
,,,hao,individual,living,Hakö
,,,hap,individual,living,Hupla
,,,haq,individual,living,Ha
,,,har,individual,living,Harari
,,,has,individual,living,Haisla
ht,hat,hat,hat,individual,living,Haitian
ha,hau,hau,hau,individual,living,Hausa
,,,hav,individual,living,Havu
,haw,haw,haw,individual,living,Hawaiian
,,,hax,individual,living,Southern Haida
,,,hay,individual,living,Haya
,,,haz,individual,living,Hazaragi
,,,hba,individual,living,Hamba
,,,hbb,individual,living,Huba
,,,hbn,individual,living,Heiban
,,,hbo,individual,historical,Ancient Hebrew
sh,,,hbs,macrolanguage,living,Serbo-Croatian
,,,hbu,individual,living,Habu
,,,hca,individual,living,Andaman Creole Hindi
,,,hch,individual,living,Huichol
,,,hdn,individual,living,Northern Haida
,,,hds,individual,living,Honduras Sign Language
,,,hdy,individual,living,Hadiyya
,,,hea,individual,living,Northern Qiandong Miao
he,heb,heb,heb,individual,living,Hebrew
,,,hed,individual,living,Herdé
,,,heg,individual,living,Helong
,,,heh,individual,living,Hehe
,,,hei,individual,living,Heiltsuk
,,,hem,individual,living,Hemba
hz,her,her,her,individual,living,Herero
,,,hgm,individual,living,Haiǁom
,,,hgw,individual,living,Haigwai
,,,hhi,individual,living,Hoia Hoia
,,,hhr,individual,living,Kerak
,,,hhy,individual,living,Hoyahoya
,,,hia,individual,living,Lamang
,,,hib,individual,extinct,Hibito
,,,hid,individual,living,Hidatsa
,,,hif,individual,living,Fiji Hindi
,,,hig,individual,living,Kamwe
,,,hih,individual,living,Pamosu
,,,hii,individual,living,Hinduri
,,,hij,individual,living,Hijuk
,,,hik,individual,living,Seit-Kaitetu
,hil,hil,hil,individual,living,Hiligaynon
hi,hin,hin,hin,individual,living,Hindi
,,,hio,individual,living,Tsoa
,,,hir,individual,living,Himarimã
,hit,hit,hit,individual,historical,Hittite
,,,hiw,individual,living,Hiw
,,,hix,individual,living,Hixkaryána
,,,hji,individual,living,Haji
,,,hka,individual,living,Kahe
,,,hke,individual,living,Hunde
,,,hkh,individual,living,Khah
,,,hkk,individual,living,Hunjara-Kaina Ke
,,,hkn,individual,living,Mel-Khaonh
,,,hks,individual,living,Hong Kong Sign Language
,,,hla,individual,living,Halia
,,,hlb,individual,living,Halbi
,,,hld,individual,living,Halang Doan
,,,hle,individual,living,Hlersu
,,,hlt,individual,living,Matu Chin
,,,hlu,individual,historical,Hieroglyphic Luwian
,,,hma,individual,living,Southern Mashan Hmong
,,,hmb,individual,living,Humburi Senni Songhay
,,,hmc,individual,living,Central Huishui Hmong
,,,hmd,individual,living,Large Flowery Miao
,,,hme,individual,living,Eastern Huishui Hmong
,,,hmf,individual,living,Hmong Don
,,,hmg,individual,living,Southwestern Guiyang Hmong
,,,hmh,individual,living,Southwestern Huishui Hmong
,,,hmi,individual,living,Northern Huishui Hmong
,,,hmj,individual,living,Ge
,,,hmk,individual,historical,Maek
,,,hml,individual,living,Luopohe Hmong
,,,hmm,individual,living,Central Mashan Hmong
,hmn,hmn,hmn,macrolanguage,living,Hmong
ho,hmo,hmo,hmo,individual,living,Hiri Motu
,,,hmp,individual,living,Northern Mashan Hmong
,,,hmq,individual,living,Eastern Qiandong Miao
,,,hmr,individual,living,Hmar
,,,hms,individual,living,Southern Qiandong Miao
,,,hmt,individual,living,Hamtai
,,,hmu,individual,living,Hamap
,,,hmv,individual,living,Hmong Dô
,,,hmw,individual,living,Western Mashan Hmong
,,,hmy,individual,living,Southern Guiyang Hmong
,,,hmz,individual,living,Hmong Shua
,,,hna,individual,living,Mina (Cameroon)
,,,hnd,individual,living,Southern Hindko
,,,hne,individual,living,Chhattisgarhi
,,,hng,individual,living,Hungu
,,,hnh,individual,living,ǁAni
,,,hni,individual,living,Hani
,,,hnj,individual,living,Hmong Njua
,,,hnn,individual,living,Hanunoo
,,,hno,individual,living,Northern Hindko
,,,hns,individual,living,Caribbean Hindustani
,,,hnu,individual,living,Hung
,,,hoa,individual,living,Hoava
,,,hob,individual,living,Mari (Madang Province)
,,,hoc,individual,living,Ho
,,,hod,individual,extinct,Holma
,,,hoe,individual,living,Horom
,,,hoh,individual,living,Hobyót
,,,hoi,individual,living,Holikachuk
,,,hoj,individual,living,Hadothi
,,,hol,individual,living,Holu
,,,hom,individual,extinct,Homa
,,,hoo,individual,living,Holoholo
,,,hop,individual,living,Hopi
,,,hor,individual,extinct,Horo
,,,hos,individual,living,Ho Chi Minh City Sign Language
,,,hot,individual,living,Hote
,,,hov,individual,living,Hovongan
,,,how,individual,living,Honi
,,,hoy,individual,living,Holiya
,,,hoz,individual,living,Hozo
,,,hpo,individual,extinct,Hpon
,,,hps,individual,living,Hawai'i Sign Language (HSL)
,,,hra,individual,living,Hrangkhol
,,,hrc,individual,living,Niwer Mil
,,,hre,individual,living,Hre
,,,hrk,individual,living,Haruku
,,,hrm,individual,living,Horned Miao
,,,hro,individual,living,Haroi
,,,hrp,individual,extinct,Nhirrpi
,,,hrt,individual,living,Hértevin
,,,hru,individual,living,Hruso
hr,hrv,hrv,hrv,individual,living,Croatian
,,,hrw,individual,living,Warwar Feni
,,,hrx,individual,living,Hunsrik
,,,hrz,individual,living,Harzani
,hsb,hsb,hsb,individual,living,Upper Sorbian
,,,hsh,individual,living,Hungarian Sign Language
,,,hsl,individual,living,Hausa Sign Language
,,,hsn,individual,living,Xiang Chinese
,,,hss,individual,living,Harsusi
,,,hti,individual,extinct,Hoti
,,,hto,individual,living,Minica Huitoto
,,,hts,individual,living,Hadza
,,,htu,individual,living,Hitu
,,,htx,individual,historical,Middle Hittite
,,,hub,individual,living,Huambisa
,,,huc,individual,living,ǂHua
,,,hud,individual,living,Huaulu
,,,hue,individual,living,San Francisco Del Mar Huave
,,,huf,individual,living,Humene
,,,hug,individual,living,Huachipaeri
,,,huh,individual,living,Huilliche
,,,hui,individual,living,Huli
,,,huj,individual,living,Northern Guiyang Hmong
,,,huk,individual,extinct,Hulung
,,,hul,individual,living,Hula
,,,hum,individual,living,Hungana
hu,hun,hun,hun,individual,living,Hungarian
,,,huo,individual,living,Hu
,hup,hup,hup,individual,living,Hupa
,,,huq,individual,living,Tsat
,,,hur,individual,living,Halkomelem
,,,hus,individual,living,Huastec
,,,hut,individual,living,Humla
,,,huu,individual,living,Murui Huitoto
,,,huv,individual,living,San Mateo Del Mar Huave
,,,huw,individual,extinct,Hukumina
,,,hux,individual,living,Nüpode Huitoto
,,,huy,individual,living,Hulaulá
,,,huz,individual,living,Hunzib
,,,hvc,individual,living,Haitian Vodoun Culture Language
,,,hve,individual,living,San Dionisio Del Mar Huave
,,,hvk,individual,living,Haveke
,,,hvn,individual,living,Sabu
,,,hvv,individual,living,Santa María Del Mar Huave
,,,hwa,individual,living,Wané
,,,hwc,individual,living,Hawai'i Creole English
,,,hwo,individual,living,Hwana
,,,hya,individual,living,Hya
hy,arm,hye,hye,individual,living,Armenian
,,,hyw,individual,living,Western Armenian
,,,iai,individual,living,Iaai
,,,ian,individual,living,Iatmul
,,,iar,individual,living,Purari
,iba,iba,iba,individual,living,Iban
,,,ibb,individual,living,Ibibio
,,,ibd,individual,living,Iwaidja
,,,ibe,individual,living,Akpes
,,,ibg,individual,living,Ibanag
,,,ibh,individual,living,Bih
,,,ibl,individual,living,Ibaloi
,,,ibm,individual,living,Agoi
,,,ibn,individual,living,Ibino
ig,ibo,ibo,ibo,individual,living,Igbo
,,,ibr,individual,living,Ibuoro
,,,ibu,individual,living,Ibu
,,,iby,individual,living,Ibani
,,,ica,individual,living,Ede Ica
,,,ich,individual,living,Etkywan
,,,icl,individual,living,Icelandic Sign Language
,,,icr,individual,living,Islander Creole English
,,,ida,individual,living,Idakho-Isukha-Tiriki
,,,idb,individual,living,Indo-Portuguese
,,,idc,individual,living,Idon
,,,idd,individual,living,Ede Idaca
,,,ide,individual,living,Idere
,,,idi,individual,living,Idi
io,ido,ido,ido,individual,constructed,Ido
,,,idr,individual,living,Indri
,,,ids,individual,living,Idesa
,,,idt,individual,living,Idaté
,,,idu,individual,living,Idoma
,,,ifa,individual,living,Amganad Ifugao
,,,ifb,individual,living,Batad Ifugao
,,,ife,individual,living,Ifè
,,,iff,individual,extinct,Ifo
,,,ifk,individual,living,Tuwali Ifugao
,,,ifm,individual,living,Teke-Fuumu
,,,ifu,individual,living,Mayoyao Ifugao
,,,ify,individual,living,Keley-I Kallahan
,,,igb,individual,living,Ebira
,,,ige,individual,living,Igede
,,,igg,individual,living,Igana
,,,igl,individual,living,Igala
,,,igm,individual,living,Kanggape
,,,ign,individual,living,Ignaciano
,,,igo,individual,living,Isebe
,,,igs,individual,constructed,Interglossa
,,,igw,individual,living,Igwe
,,,ihb,individual,living,Iha Based Pidgin
,,,ihi,individual,living,Ihievbe
,,,ihp,individual,living,Iha
,,,ihw,individual,extinct,Bidhawal
ii,iii,iii,iii,individual,living,Sichuan Yi
,,,iin,individual,extinct,Thiin
,,,ijc,individual,living,Izon
,,,ije,individual,living,Biseni
,,,ijj,individual,living,Ede Ije
,,,ijn,individual,living,Kalabari
,,,ijs,individual,living,Southeast Ijo
,,,ike,individual,living,Eastern Canadian Inuktitut
,,,ikh,individual,living,Ikhin-Arokho
,,,iki,individual,living,Iko
,,,ikk,individual,living,Ika
,,,ikl,individual,living,Ikulu
,,,iko,individual,living,Olulumo-Ikom
,,,ikp,individual,living,Ikpeshi
,,,ikr,individual,extinct,Ikaranggal
,,,iks,individual,living,Inuit Sign Language
,,,ikt,individual,living,Inuinnaqtun
iu,iku,iku,iku,macrolanguage,living,Inuktitut
,,,ikv,individual,living,Iku-Gora-Ankwa
,,,ikw,individual,living,Ikwere
,,,ikx,individual,living,Ik
,,,ikz,individual,living,Ikizu
,,,ila,individual,living,Ile Ape
,,,ilb,individual,living,Ila
ie,ile,ile,ile,individual,constructed,Interlingue
,,,ilg,individual,extinct,Garig-Ilgar
,,,ili,individual,living,Ili Turki
,,,ilk,individual,living,Ilongot
,,,ilm,individual,living,Iranun (Malaysia)
,ilo,ilo,ilo,individual,living,Iloko
,,,ilp,individual,living,Iranun (Philippines)
,,,ils,individual,living,International Sign
,,,ilu,individual,living,Ili'uun
,,,ilv,individual,living,Ilue
,,,ima,individual,living,Mala Malasar
,,,imi,individual,living,Anamgura
,,,iml,individual,extinct,Miluk
,,,imn,individual,living,Imonda
,,,imo,individual,living,Imbongu
,,,imr,individual,living,Imroing
,,,ims,individual,historical,Marsian
,,,imt,individual,living,Imotong
,,,imy,individual,historical,Milyan
ia,ina,ina,ina,individual,constructed,Interlingua (International Auxiliary Language Association)
,,,inb,individual,living,Inga
id,ind,ind,ind,individual,living,Indonesian
,,,ing,individual,living,Degexit'an
,inh,inh,inh,individual,living,Ingush
,,,inj,individual,living,Jungle Inga
,,,inl,individual,living,Indonesian Sign Language
,,,inm,individual,historical,Minaean
,,,inn,individual,living,Isinai
,,,ino,individual,living,Inoke-Yate
,,,inp,individual,living,Iñapari
,,,ins,individual,living,Indian Sign Language
,,,int,individual,living,Intha
,,,inz,individual,extinct,Ineseño
,,,ior,individual,living,Inor
,,,iou,individual,living,Tuma-Irumu
,,,iow,individual,extinct,Iowa-Oto
,,,ipi,individual,living,Ipili
ik,ipk,ipk,ipk,macrolanguage,living,Inupiaq
,,,ipo,individual,living,Ipiko
,,,iqu,individual,living,Iquito
,,,iqw,individual,living,Ikwo
,,,ire,individual,living,Iresim
,,,irh,individual,living,Irarutu
,,,iri,individual,living,Rigwe
,,,irk,individual,living,Iraqw
,,,irn,individual,living,Irántxe
,,,irr,individual,living,Ir
,,,iru,individual,living,Irula
,,,irx,individual,living,Kamberau
,,,iry,individual,living,Iraya
,,,isa,individual,living,Isabi
,,,isc,individual,living,Isconahua
,,,isd,individual,living,Isnag
,,,ise,individual,living,Italian Sign Language
,,,isg,individual,living,Irish Sign Language
,,,ish,individual,living,Esan
,,,isi,individual,living,Nkem-Nkum
,,,isk,individual,living,Ishkashimi
is,ice,isl,isl,individual,living,Icelandic
,,,ism,individual,living,Masimasi
,,,isn,individual,living,Isanzu
,,,iso,individual,living,Isoko
,,,isr,individual,living,Israeli Sign Language
,,,ist,individual,living,Istriot
,,,isu,individual,living,Isu (Menchum Division)
,,,isv,individual,constructed,Interslavic
it,ita,ita,ita,individual,living,Italian
,,,itb,individual,living,Binongan Itneg
,,,itd,individual,living,Southern Tidung
,,,ite,individual,extinct,Itene
,,,iti,individual,living,Inlaod Itneg
,,,itk,individual,living,Judeo-Italian
,,,itl,individual,living,Itelmen
,,,itm,individual,living,Itu Mbon Uzo
,,,ito,individual,living,Itonama
,,,itr,individual,living,Iteri
,,,its,individual,living,Isekiri
,,,itt,individual,living,Maeng Itneg
,,,itv,individual,living,Itawit
,,,itw,individual,living,Ito
,,,itx,individual,living,Itik
,,,ity,individual,living,Moyadan Itneg
,,,itz,individual,living,Itzá
,,,ium,individual,living,Iu Mien
,,,ivb,individual,living,Ibatan
,,,ivv,individual,living,Ivatan
,,,iwk,individual,living,I-Wak
,,,iwm,individual,living,Iwam
,,,iwo,individual,living,Iwur
,,,iws,individual,living,Sepik Iwam
,,,ixc,individual,living,Ixcatec
,,,ixl,individual,living,Ixil
,,,iya,individual,living,Iyayu
,,,iyo,individual,living,Mesaka
,,,iyx,individual,living,Yaka (Congo)
,,,izh,individual,living,Ingrian
,,,izm,individual,living,Kizamani
,,,izr,individual,living,Izere
,,,izz,individual,living,Izii
,,,jaa,individual,living,Jamamadí
,,,jab,individual,living,Hyam
,,,jac,individual,living,Popti'
,,,jad,individual,living,Jahanka
,,,jae,individual,living,Yabem
,,,jaf,individual,living,Jara
,,,jah,individual,living,Jah Hut
,,,jaj,individual,living,Zazao
,,,jak,individual,living,Jakun
,,,jal,individual,living,Yalahatan
,,,jam,individual,living,Jamaican Creole English
,,,jan,individual,extinct,Jandai
,,,jao,individual,living,Yanyuwa
,,,jaq,individual,living,Yaqay
,,,jas,individual,living,New Caledonian Javanese
,,,jat,individual,living,Jakati
,,,jau,individual,living,Yaur
jv,jav,jav,jav,individual,living,Javanese
,,,jax,individual,living,Jambi Malay
,,,jay,individual,living,Yan-nhangu
,,,jaz,individual,living,Jawe
,,,jbe,individual,living,Judeo-Berber
,,,jbi,individual,extinct,Badjiri
,,,jbj,individual,living,Arandai
,,,jbk,individual,living,Barikewa
,,,jbm,individual,living,Bijim
,,,jbn,individual,living,Nafusi
,jbo,jbo,jbo,individual,constructed,Lojban
,,,jbr,individual,living,Jofotek-Bromnya
,,,jbt,individual,living,Jabutí
,,,jbu,individual,living,Jukun Takum
,,,jbw,individual,extinct,Yawijibaya
,,,jcs,individual,living,Jamaican Country Sign Language
,,,jct,individual,living,Krymchak
,,,jda,individual,living,Jad
,,,jdg,individual,living,Jadgali
,,,jdt,individual,living,Judeo-Tat
,,,jeb,individual,living,Jebero
,,,jee,individual,living,Jerung
,,,jeh,individual,living,Jeh
,,,jei,individual,living,Yei
,,,jek,individual,living,Jeri Kuo
